timestamp, ax, ay, az, gx, gy, gz
640, 9637, 2414, 22822, -1104, 7187, -2585
650, 6065, 1685, 21142, -3856, 3857, -1527
660, 3734, 520, 14521, -1131, -52, -1324
670, 5840, -4670, 3978, 574, -3331, 328
680, 9372, -6820, 5116, -3234, -3381, 986
690, 11796, -6216, 6932, -1980, -1251, 665
700, 12484, -3943, 9350, 313, 691, -74
710, 12318, -235, 14501, 872, 2701, -1049
720, 13595, 1568, 16602, 1148, 1924, -1318
730, 14998, 1999, 16820, 2106, 426, -1001
740, 15083, 1355, 14175, 2456, -508, -319
750, 13016, 751, 11598, 516, -365, 455
760, 12377, -293, 9653, -1024, 171, 1296
770, 11537, -500, 7595, -1908, 1040, 2056
780, 14434, -2183, 9354, -4324, 4074, 2917
790, 16734, -3093, 12393, -4208, 5297, 2934
800, 17105, -3526, 14349, -3168, 5335, 2160
810, 13150, -3285, 13958, -684, 3048, -463
820, 10938, -4286, 10809, 20, 1038, -1050
830, 10178, -5266, 9035, 308, 159, -1340
840, 8883, -4906, 13016, 602, 1334, -2105
850, 8253, -3629, 15521, 379, 4103, -2898
860, 8344, -2745, 16108, 487, 2492, -3220
870, 11482, -1443, 9583, 3538, -3436, -4105
880, 11637, -952, 9494, 3548, -3084, -3954
890, 12548, -963, 11462, 1542, -1849, -2748
900, 12159, -1112, 11971, 937, -980, -1940
910, 11177, -1483, 11965, 433, -456, -1052
920, 11251, -3465, 13353, -95, -558, 344
930, 11023, -4547, 12811, 619, -1103, 467
940, 11489, -4978, 13241, 1179, -1645, 487
950, 11749, -4505, 12092, 1159, -1438, 23
960, 11550, -3807, 11909, 307, -823, -63
970, 11453, -3288, 12545, -575, -284, 102
980, 11460, -3121, 12882, -642, -106, 222
990, 11688, -2899, 12383, 550, -526, 152
timestamp, ax, ay, az, gx, gy, gz
0, 2531, -11170, 2453, -4711, 4844, 2610
10, 2442, -12193, 3082, -5795, 4784, 2966
20, 2485, -13024, 3664, -6134, 4503, 2947
30, 2503, -14560, 4917, -4685, 3367, 2331
40, 2357, -15330, 5583, -3169, 2437, 1990
50, 2327, -15734, 5607, -1320, 1183, 1708
60, 2545, -15690, 4831, 194, -83, 1477
70, 3259, -15638, 3649, 129, -889, 1077
80, 3216, -15557, 3816, -962, -731, 773
90, 3254, -15561, 4175, -1827, -810, 537
100, 3482, -15588, 4203, -2061, -2342, 39
110, 3820, -15514, 3814, -1938, -3391, -195
120, 5244, -15218, 1834, -2623, -4740, 62
130, 5847, -15551, 1413, -4131, -4490, 657
140, 6068, -16396, 1250, -5858, -4132, 1418
150, 6240, -17379, 1272, -7513, -3915, 2296
160, 6227, -18885, 647, -9610, -3992, 3515
170, 6150, -19371, 665, -10308, -3932, 3815
180, 6094, -19681, 827, -10490, -3967, 3803
190, 6105, -18992, 601, -8663, -4643, 3035
200, 5899, -18159, 463, -7287, -4896, 2641
210, 5852, -17312, 349, -6035, -5044, 2451
220, 6036, -16337, 360, -4991, -5079, 2430
230, 6029, -13912, -166, -2983, -5105, 2955
240, 5899, -12575, -858, -2438, -4787, 3864
250, 5656, -11593, -1290, -2565, -4053, 5104
260, 4704, -9274, -1861, -3942, -2263, 7614
270, 4349, -8372, -1533, -5057, -1314, 8810
280, 3809, -7399, -833, -6074, -528, 9785
290, 3251, -6461, -169, -6543, -151, 10579
300, 2134, -4125, 208, -5537, -321, 11710
310, 887, -2845, -549, -4657, -80, 12455
320, -568, -1883, -1137, -4252, 828, 13639
330, -4883, -1421, -1504, -4307, 3935, 16333
340, -7781, -1694, -1450, -3876, 5351, 17214
350, -12968, -2817, -1818, -755, 6295, 17727
360, -16597, -3595, -2674, 2109, 6307, 17443
370, -20432, -4496, -5107, 5402, 6020, 17155
380, -22173, -6196, -7124, 8391, 6525, 17359
390, -24827, -12002, -9001, 12875, 12660, 18335
400, -26451, -16464, -7677, 13371, 16557, 18037
410, -25843, -20458, -6240, 12659, 19328, 17290
420, -17503, -26697, -8977, 5669, 21901, 13934
430, -11908, -28472, -9578, -985, 23764, 11927
440, -6010, -29821, -8939, -6242, 26931, 10562
450, -6299, -25396, -5335, -7308, 32604, 11111
460, -16426, -24201, -7941, -7086, 31876, 13810
470, -32561, -23693, -11554, -11350, 26751, 17825
480, -32764, -24640, -18074, -19417, 16727, 22878
490, -32764, -5096, -32748, -32618, -22161, 22735
500, -32764, -4292, -32748, -32766, -32333, 19367
510, -19234, -24990, -32748, -32729, -32766, 10968
520, 13472, -16589, -32748, 17531, -17660, 14874
530, 7311, -10726, -32748, 32555, -10348, 6083
540, 1685, -7446, -30399, 32760, -2300, 624
550, 1621, 738, -9489, 9002, 14615, -1222
560, -1790, 468, 292, -9572, 17614, -3508
570, -8012, 3183, 12791, -16004, 18111, -5476
580, -9053, 3914, 13881, -5939, 16710, -4664
590, -11771, 5315, 11882, 5385, 14265, -4344
600, -16674, 7921, 3580, 13452, 11470, -4304
610, -16460, 7092, 8, 15776, 6185, -2177
620, -15263, 5393, -2618, 12752, 4341, -905
630, -14095, 4187, -4025, 8540, 2755, 541
640, -14384, -235, -5391, 652, -1442, 4816
650, -14062, -3701, -6598, -1018, -4520, 7002
660, -13559, -7293, -8756, -1163, -7553, 8151
670, -13415, -12651, -12503, 1665, -9298, 6204
680, -12583, -13463, -11842, 3836, -7699, 4304
690, -12515, -13257, -10499, 6554, -6043, 2381
700, -12973, -12296, -10210, 9232, -5400, 863
710, -13808, -11048, -11583, 10642, -6113, -926
720, -14199, -10368, -11841, 8596, -5807, -1176
730, -15485, -11288, -11163, 5595, -4694, -931
740, -16301, -14091, -7387, 1287, -2162, -1842
750, -15111, -14393, -5550, 776, -1513, -2807
760, -15071, -12744, -6097, 1531, -1793, -4332
770, -14796, -12034, -6372, 1926, -1645, -5028
780, -11761, -10740, -5686, -5105, 19, -2703
790, -12315, -11117, -5167, -3376, -1717, -1069
800, -12277, -11232, -5852, -1481, -2361, 66
810, -13609, -11016, -7326, -280, -2799, 730
820, -11535, -11115, -8797, -630, -1563, 1727
830, -11192, -11054, -8504, -1486, -14, 941
840, -10766, -10455, -7597, -2139, 1568, -98
850, -10037, -9527, -6288, -1438, 3629, -1014
860, -9459, -9327, -5697, -505, 4313, -805
870, -9453, -9146, -5123, 433, 4920, -704
880, -10241, -8677, -4617, 1216, 5399, -728
890, -11917, -7700, -4169, 1881, 5424, 98
900, -12316, -7596, -4217, 1430, 5081, 919
910, -12832, -7863, -4735, 469, 4695, 1661
920, -12717, -8961, -5559, -2575, 3930, 2760
930, -12249, -9774, -5618, -3867, 3591, 3027
940, -11622, -10487, -5555, -4415, 3123, 3094
950, -11129, -10828, -5729, -4058, 2470, 2955
960, -10106, -10779, -6347, -1866, 984, 2164
970, -9830, -10450, -6838, -537, 404, 1670
980, -9836, -10010, -7544, 511, -1, 1106
990, -9870, -8944, -8424, 957, 42, 317
timestamp, ax, ay, az, gx, gy, gz
0, 2575, -10753, 3142, -5456, 3241, 566
10, 2735, -12210, 3175, -4708, 3312, 832
20, 2491, -12952, 3198, -4510, 3430, 974
30, 2083, -13846, 3373, -4442, 3638, 1501
40, 1745, -14846, 3775, -4415, 3878, 2369
